node/use case ->,1,2,3,4,5,6,7,8,9,10
880V_Shore_Charger,=,=,=,=,+,=,=,=,=,=
880V_Battery,=,=,=,=,+,=,=,=,=,=
880V_Bus_Tie,=,=,=,=,+,=,=,=,=,=
880V_Battery_Management_System,=,=,=,=,+,=,=,=,=,=
230V_Grid_Inverter,=,=,=,=,+,=,=,=,=,=
880V_Motor_Inverter,=,=,=,=,+,=,=,=,=,=
Stern_Motor_Controller,+,=,=,=,=,=,=,=,=,+
Stern_Drive_Motor,+,=,=,=,=,=,=,=,=,+
Stern_Steering_Controller,+,+,=,+,=,=,=,+,=,+
Stern_Steering_Motor,+,+,=,+,=,=,=,+,=,+
230V_Consumers,=,=,=,=,=,=,=,=,=,=
24V_DC_Converter,=,=,=,=,=,=,=,=,=,=
Radar,=,-,=,-,+,=,=,-,+,=
Perceptor,+,+,=,+,=,=,+,+,=,+
Communicator,+,+,=,=,=,=,+,=,=,+
Strategic_Path_Planner,+,-,=,-,+,=,=,=,=,+
Tactical_Path_Planner,+,+,=,+,=,=,+,=,=,+
Docker,+,=,=,=,=,=,=,=,=,+
Decider,+,+,=,+,=,=,=,=,=,+
Peplink_Router,=,=,=,=,=,=,=,=,=,=
Ethernet_Switch,=,=,=,=,=,=,=,=,=,=
24V_DC_Charge_Controller,=,=,=,=,=,=,=,=,=,=
24V_Battery,=,=,=,=,=,=,=,=,=,=
24V_Bus_Tie,=,=,=,=,=,=,=,=,=,=
Manual_Throttle,=,=,=,=,=,=,=,=,=,=
Manual_Steering,=,=,=,=,=,=,=,=,=,=
GPS,+,=,=,+,=,=,=,=,=,+
IMU,+,=,=,+,=,=,=,+,=,+
Weather_Station,=,=,=,=,=,=,=,=,=,=
RGB_Camera,+,+,=,=,=,+,-,=,=,+
IR_Camera,+,+,=,=,=,-,+,=,=,+
Lidar,+,+,=,+,=,=,=,=,=,+
24V_Consumers,=,=,=,=,=,=,=,=,=,=
Horn,+,+,=,+,=,=,+,=,=,+
Navigation_Lightning,=,=,=,=,=,=,+,=,=,=
Sonar_System,+,=,=,+,=,=,=,+,=,+
Depth_Sensor,+,=,=,+,=,=,=,+,=,+
Speed_Log,+,+,=,+,=,=,=,=,=,+
Ethernet_Gateway,=,=,=,=,=,=,=,=,=,=
AIS_Transciever,=,+,=,=,+,=,=,=,=,=
VHF_Radio,=,+,=,+,=,=,=,=,=,+
Stern_drive_propeller,+,+,=,+,=,=,=,+,=,+
Vessel_Hull,=,=,=,=,=,=,=,=,=,=
Rudder,=,=,=,=,=,=,=,=,=,=
Bow_Thurster,+,-,-,-,-,-,-,-,-,+
Bow_Thruster_Controller,+,-,-,-,-,-,-,-,-,+
