source;target;kind;labels
Undocking;Stern_Drive_Motor_Controller;Use_Case_Mapping;High_reliability_required
Undocking;Stern_Drive_Motor;Use_Case_Mapping;High_reliability_required
Undocking;Stern_Drive_Steering_Controller;Use_Case_Mapping;High_reliability_required
Undocking;Stern_Drive_Steering_Motor;Use_Case_Mapping;High_reliability_required
Undocking;Perceptor;Use_Case_Mapping;High_reliability_required
Undocking;Communicator;Use_Case_Mapping;High_reliability_required
Undocking;Strategic_Path_Planner;Use_Case_Mapping;No_reliability_required
Undocking;Tactical_Path_Planner;Use_Case_Mapping;No_reliability_required
Undocking;Docker;Use_Case_Mapping;High_reliability_required
Undocking;Decider;Use_Case_Mapping;High_reliability_required
Undocking;Manual_Throttle;Use_Case_Mapping;High_reliability_required
Undocking;Manual_Steering;Use_Case_Mapping;High_reliability_required
Undocking;IMU;Use_Case_Mapping;High_reliability_required
Undocking;RGB_Camera;Use_Case_Mapping;High_reliability_required
Undocking;IR_Camera;Use_Case_Mapping;High_reliability_required
Undocking;Lidar;Use_Case_Mapping;High_reliability_required
Undocking;Horn;Use_Case_Mapping;High_reliability_required
Undocking;Speed_Log;Use_Case_Mapping;High_reliability_required
Undocking;Stern_Drive_Propeller;Use_Case_Mapping;High_reliability_required
Undocking;Bow_Thruster;Use_Case_Mapping;High_reliability_required
Undocking;Bow_Thruster_Controller;Use_Case_Mapping;High_reliability_required
High_Traffic;Stern_Drive_Steering_Controller;Use_Case_Mapping;High_reliability_required
High_Traffic;Stern_Drive_Steering_Motor;Use_Case_Mapping;High_reliability_required
High_Traffic;Radar;Use_Case_Mapping;High_reliability_required
High_Traffic;Perceptor;Use_Case_Mapping;High_reliability_required
High_Traffic;Communicator;Use_Case_Mapping;High_reliability_required
High_Traffic;Strategic_Path_Planner;Use_Case_Mapping;High_reliability_required
High_Traffic;Tactical_Path_Planner;Use_Case_Mapping;High_reliability_required
High_Traffic;Docker;Use_Case_Mapping;No_reliability_required
High_Traffic;Decider;Use_Case_Mapping;High_reliability_required
High_Traffic;Manual_Throttle;Use_Case_Mapping;High_reliability_required
High_Traffic;Manual_Steering;Use_Case_Mapping;High_reliability_required
High_Traffic;GPS;Use_Case_Mapping;High_reliability_required
High_Traffic;RGB_Camera;Use_Case_Mapping;High_reliability_required
High_Traffic;IR_Camera;Use_Case_Mapping;High_reliability_required
High_Traffic;Lidar;Use_Case_Mapping;High_reliability_required
High_Traffic;Horn;Use_Case_Mapping;High_reliability_required
High_Traffic;Navigation_Lightning;Use_Case_Mapping;High_reliability_required
High_Traffic;Speed_Log;Use_Case_Mapping;High_reliability_required
High_Traffic;AIS_Transceiver;Use_Case_Mapping;High_reliability_required
High_Traffic;VHF_Radio;Use_Case_Mapping;High_reliability_required
High_Traffic;Stern_Drive_Propeller;Use_Case_Mapping;High_reliability_required
High_Traffic;Bow_Thruster;Use_Case_Mapping;No_reliability_required
High_Traffic;Bow_Thruster_Controller;Use_Case_Mapping;No_reliability_required
Low_Traffic;Docker;Use_Case_Mapping;No_reliability_required
Low_Traffic;Bow_Thruster;Use_Case_Mapping;No_reliability_required
Low_Traffic;Bow_Thruster_Controller;Use_Case_Mapping;No_reliability_required
Inland_Waterways;Stern_Drive_Steering_Controller;Use_Case_Mapping;High_reliability_required
Inland_Waterways;Stern_Drive_Steering_Motor;Use_Case_Mapping;High_reliability_required
Inland_Waterways;Radar;Use_Case_Mapping;High_reliability_required
Inland_Waterways;Perceptor;Use_Case_Mapping;High_reliability_required
