source;target;kind;labels
Undocking;Stern_Drive_Motor_Controller;Use_Case_Mapping;Required_For_Use_Case
Undocking;Stern_Drive_Motor;Use_Case_Mapping;Required_For_Use_Case
Undocking;Stern_Drive_Steering_Controller;Use_Case_Mapping;Required_For_Use_Case
Undocking;Stern_Drive_Steering_Motor;Use_Case_Mapping;Required_For_Use_Case
Undocking;Perceptor;Use_Case_Mapping;Required_For_Use_Case
Undocking;Communicator;Use_Case_Mapping;Required_For_Use_Case
Undocking;Strategic_Path_Planner;Use_Case_Mapping;Unusable_For_Use_Case
Undocking;Tactical_Path_Planner;Use_Case_Mapping;Unusable_For_Use_Case
Undocking;Docker;Use_Case_Mapping;Required_For_Use_Case
Undocking;Decider;Use_Case_Mapping;Required_For_Use_Case
Undocking;Manual_Throttle;Use_Case_Mapping;Required_For_Use_Case
Undocking;Manual_Steering;Use_Case_Mapping;Required_For_Use_Case
Undocking;IMU;Use_Case_Mapping;Required_For_Use_Case
Undocking;RGB_Camera;Use_Case_Mapping;Required_For_Use_Case
Undocking;IR_Camera;Use_Case_Mapping;Required_For_Use_Case
Undocking;Lidar;Use_Case_Mapping;Required_For_Use_Case
Undocking;Horn;Use_Case_Mapping;Required_For_Use_Case
Undocking;Speed_Log;Use_Case_Mapping;Required_For_Use_Case
Undocking;Stern_Drive_Propeller;Use_Case_Mapping;Required_For_Use_Case
Undocking;Bow_Thruster;Use_Case_Mapping;Required_For_Use_Case
Undocking;Bow_Thruster_Controller;Use_Case_Mapping;Required_For_Use_Case
High_Traffic;Stern_Drive_Steering_Controller;Use_Case_Mapping;Required_For_Use_Case
High_Traffic;Stern_Drive_Steering_Motor;Use_Case_Mapping;Required_For_Use_Case
High_Traffic;Radar;Use_Case_Mapping;Required_For_Use_Case
High_Traffic;Perceptor;Use_Case_Mapping;Required_For_Use_Case
High_Traffic;Communicator;Use_Case_Mapping;Required_For_Use_Case
High_Traffic;Strategic_Path_Planner;Use_Case_Mapping;Required_For_Use_Case
High_Traffic;Tactical_Path_Planner;Use_Case_Mapping;Required_For_Use_Case
High_Traffic;Docker;Use_Case_Mapping;Unusable_For_Use_Case
