source;target;kind;labels
Undocking;880V_Shore_Charger;use_case_mapping;
Undocking;880V_Battery;use_case_mapping;
Undocking;880V_Bus_Tie;use_case_mapping;
Undocking;880V_Battery_Management_System;use_case_mapping;
Undocking;230V_Grid_Inverter;use_case_mapping;
Undocking;880V_Motor_Inverter;use_case_mapping;
Undocking;Stern_Drive_Motor_Controller;use_case_mapping;Required_For_Use_Case
Undocking;Stern_Drive_Motor;use_case_mapping;Required_For_Use_Case
Undocking;Stern_Drive_Steering_Controller;use_case_mapping;Required_For_Use_Case
Undocking;Stern_Drive_Steering_Motor;use_case_mapping;Required_For_Use_Case
Undocking;230V_Consumers;use_case_mapping;
Undocking;24V_DC_Converter;use_case_mapping;
Undocking;Radar;use_case_mapping;
Undocking;Perceptor;use_case_mapping;Required_For_Use_Case
Undocking;Communicator;use_case_mapping;Required_For_Use_Case
Undocking;Strategic_Path_Planner;use_case_mapping;Unusable_For_Use_Case
Undocking;Tactical_Path_Planner;use_case_mapping;Unusable_For_Use_Case
Undocking;Docker;use_case_mapping;Required_For_Use_Case
Undocking;Decider;use_case_mapping;Required_For_Use_Case
Undocking;Peplink_Router;use_case_mapping;
Undocking;Ethernet_Switch;use_case_mapping;
Undocking;24V_DC_Charge_Controller;use_case_mapping;
Undocking;24V_Battery;use_case_mapping;
Undocking;24V_Bus_Tie;use_case_mapping;
Undocking;Manual_Throttle;use_case_mapping;Required_For_Use_Case
Undocking;Manual_Steering;use_case_mapping;Required_For_Use_Case
Undocking;GPS;use_case_mapping;
Undocking;IMU;use_case_mapping;Required_For_Use_Case
Undocking;Weather_Station;use_case_mapping;
Undocking;RGB_Camera;use_case_mapping;Required_For_Use_Case
Undocking;IR_Camera;use_case_mapping;Required_For_Use_Case
Undocking;Lidar;use_case_mapping;Required_For_Use_Case
Undocking;24V_Consumers;use_case_mapping;
Undocking;Horn;use_case_mapping;Required_For_Use_Case
Undocking;Navigation_Lightning;use_case_mapping;
Undocking;Sonar_System;use_case_mapping;
Undocking;Depth_Sensor;use_case_mapping;
Undocking;Speed_Log;use_case_mapping;Required_For_Use_Case
Undocking;Ethernet_Gateway;use_case_mapping;
Undocking;AIS_Transceiver;use_case_mapping;
Undocking;VHF_Radio;use_case_mapping;
Undocking;Stern_drive_propeller;use_case_mapping;Required_For_Use_Case
Undocking;Vessel_Hull;use_case_mapping;
Undocking;Bow_Thruster;use_case_mapping;Required_For_Use_Case
Undocking;Bow_Thruster_Controller;use_case_mapping;Required_For_Use_Case
High_Traffic;880V_Shore_Charger;use_case_mapping;
High_Traffic;880V_Battery;use_case_mapping;
High_Traffic;880V_Bus_Tie;use_case_mapping;
High_Traffic;880V_Battery_Management_System;use_case_mapping;
High_Traffic;230V_Grid_Inverter;use_case_mapping;
High_Traffic;880V_Motor_Inverter;use_case_mapping;
High_Traffic;Stern_Drive_Motor_Controller;use_case_mapping;
High_Traffic;Stern_Drive_Motor;use_case_mapping;
High_Traffic;Stern_Drive_Steering_Controller;use_case_mapping;Required_For_Use_Case
High_Traffic;Stern_Drive_Steering_Motor;use_case_mapping;Required_For_Use_Case
High_Traffic;230V_Consumers;use_case_mapping;
High_Traffic;24V_DC_Converter;use_case_mapping;
High_Traffic;Radar;use_case_mapping;Required_For_Use_Case
High_Traffic;Perceptor;use_case_mapping;Required_For_Use_Case
High_Traffic;Communicator;use_case_mapping;Required_For_Use_Case
High_Traffic;Strategic_Path_Planner;use_case_mapping;Required_For_Use_Case
High_Traffic;Tactical_Path_Planner;use_case_mapping;Required_For_Use_Case
High_Traffic;Docker;use_case_mapping;Unusable_For_Use_Case
High_Traffic;Decider;use_case_mapping;Required_For_Use_Case
High_Traffic;Peplink_Router;use_case_mapping;
High_Traffic;Ethernet_Switch;use_case_mapping;
High_Traffic;24V_DC_Charge_Controller;use_case_mapping;
High_Traffic;24V_Battery;use_case_mapping;
High_Traffic;24V_Bus_Tie;use_case_mapping;
High_Traffic;Manual_Throttle;use_case_mapping;Required_For_Use_Case
High_Traffic;Manual_Steering;use_case_mapping;Required_For_Use_Case
High_Traffic;GPS;use_case_mapping;Required_For_Use_Case
High_Traffic;IMU;use_case_mapping;
High_Traffic;Weather_Station;use_case_mapping;
High_Traffic;RGB_Camera;use_case_mapping;Required_For_Use_Case
High_Traffic;IR_Camera;use_case_mapping;Required_For_Use_Case
High_Traffic;Lidar;use_case_mapping;Required_For_Use_Case
High_Traffic;24V_Consumers;use_case_mapping;
High_Traffic;Horn;use_case_mapping;Required_For_Use_Case
High_Traffic;Navigation_Lightning;use_case_mapping;Required_For_Use_Case
High_Traffic;Sonar_System;use_case_mapping;
High_Traffic;Depth_Sensor;use_case_mapping;
High_Traffic;Speed_Log;use_case_mapping;Required_For_Use_Case
High_Traffic;Ethernet_Gateway;use_case_mapping;
High_Traffic;AIS_Transceiver;use_case_mapping;Required_For_Use_Case
High_Traffic;VHF_Radio;use_case_mapping;Required_For_Use_Case
High_Traffic;Stern_drive_propeller;use_case_mapping;Required_For_Use_Case
High_Traffic;Vessel_Hull;use_case_mapping;
High_Traffic;Bow_Thruster;use_case_mapping;Unusable_For_Use_Case
High_Traffic;Bow_Thruster_Controller;use_case_mapping;Unusable_For_Use_Case
Low_Traffic;880V_Shore_Charger;use_case_mapping;
Low_Traffic;880V_Battery;use_case_mapping;
Low_Traffic;880V_Bus_Tie;use_case_mapping;
Low_Traffic;880V_Battery_Management_System;use_case_mapping;
Low_Traffic;230V_Grid_Inverter;use_case_mapping;
Low_Traffic;880V_Motor_Inverter;use_case_mapping;
Low_Traffic;Stern_Drive_Motor_Controller;use_case_mapping;
Low_Traffic;Stern_Drive_Motor;use_case_mapping;
Low_Traffic;Stern_Drive_Steering_Controller;use_case_mapping;
Low_Traffic;Stern_Drive_Steering_Motor;use_case_mapping;
Low_Traffic;230V_Consumers;use_case_mapping;
Low_Traffic;24V_DC_Converter;use_case_mapping;
Low_Traffic;Radar;use_case_mapping;
Low_Traffic;Perceptor;use_case_mapping;
Low_Traffic;Communicator;use_case_mapping;
Low_Traffic;Strategic_Path_Planner;use_case_mapping;
Low_Traffic;Tactical_Path_Planner;use_case_mapping;
Low_Traffic;Docker;use_case_mapping;Unusable_For_Use_Case
Low_Traffic;Decider;use_case_mapping;
Low_Traffic;Peplink_Router;use_case_mapping;
Low_Traffic;Ethernet_Switch;use_case_mapping;
Low_Traffic;24V_DC_Charge_Controller;use_case_mapping;
Low_Traffic;24V_Battery;use_case_mapping;
Low_Traffic;24V_Bus_Tie;use_case_mapping;
Low_Traffic;Manual_Throttle;use_case_mapping;
Low_Traffic;Manual_Steering;use_case_mapping;
Low_Traffic;GPS;use_case_mapping;
Low_Traffic;IMU;use_case_mapping;
Low_Traffic;Weather_Station;use_case_mapping;
Low_Traffic;RGB_Camera;use_case_mapping;
Low_Traffic;IR_Camera;use_case_mapping;
Low_Traffic;Lidar;use_case_mapping;
Low_Traffic;24V_Consumers;use_case_mapping;
Low_Traffic;Horn;use_case_mapping;
Low_Traffic;Navigation_Lightning;use_case_mapping;
Low_Traffic;Sonar_System;use_case_mapping;
Low_Traffic;Depth_Sensor;use_case_mapping;
Low_Traffic;Speed_Log;use_case_mapping;
Low_Traffic;Ethernet_Gateway;use_case_mapping;
Low_Traffic;AIS_Transceiver;use_case_mapping;
Low_Traffic;VHF_Radio;use_case_mapping;
Low_Traffic;Stern_drive_propeller;use_case_mapping;
Low_Traffic;Vessel_Hull;use_case_mapping;
Low_Traffic;Bow_Thruster;use_case_mapping;Unusable_For_Use_Case
Low_Traffic;Bow_Thruster_Controller;use_case_mapping;Unusable_For_Use_Case
Inland_Waterways;880V_Shore_Charger;use_case_mapping;
Inland_Waterways;880V_Battery;use_case_mapping;
Inland_Waterways;880V_Bus_Tie;use_case_mapping;
Inland_Waterways;880V_Battery_Management_System;use_case_mapping;
Inland_Waterways;230V_Grid_Inverter;use_case_mapping;
Inland_Waterways;880V_Motor_Inverter;use_case_mapping;
Inland_Waterways;Stern_Drive_Motor_Controller;use_case_mapping;
Inland_Waterways;Stern_Drive_Motor;use_case_mapping;
Inland_Waterways;Stern_Drive_Steering_Controller;use_case_mapping;Required_For_Use_Case
Inland_Waterways;Stern_Drive_Steering_Motor;use_case_mapping;Required_For_Use_Case
Inland_Waterways;230V_Consumers;use_case_mapping;
Inland_Waterways;24V_DC_Converter;use_case_mapping;
Inland_Waterways;Radar;use_case_mapping;Required_For_Use_Case
Inland_Waterways;Perceptor;use_case_mapping;Required_For_Use_Case
Inland_Waterways;Communicator;use_case_mapping;
Inland_Waterways;Strategic_Path_Planner;use_case_mapping;Unusable_For_Use_Case
Inland_Waterways;Tactical_Path_Planner;use_case_mapping;Required_For_Use_Case
Inland_Waterways;Docker;use_case_mapping;Unusable_For_Use_Case
Inland_Waterways;Decider;use_case_mapping;Required_For_Use_Case
Inland_Waterways;Peplink_Router;use_case_mapping;
Inland_Waterways;Ethernet_Switch;use_case_mapping;
Inland_Waterways;24V_DC_Charge_Controller;use_case_mapping;
Inland_Waterways;24V_Battery;use_case_mapping;
Inland_Waterways;24V_Bus_Tie;use_case_mapping;
Inland_Waterways;Manual_Throttle;use_case_mapping;Required_For_Use_Case
Inland_Waterways;Manual_Steering;use_case_mapping;Required_For_Use_Case
Inland_Waterways;GPS;use_case_mapping;
Inland_Waterways;IMU;use_case_mapping;Required_For_Use_Case
Inland_Waterways;Weather_Station;use_case_mapping;
Inland_Waterways;RGB_Camera;use_case_mapping;Required_For_Use_Case
Inland_Waterways;IR_Camera;use_case_mapping;Required_For_Use_Case
Inland_Waterways;Lidar;use_case_mapping;Required_For_Use_Case
Inland_Waterways;24V_Consumers;use_case_mapping;
Inland_Waterways;Horn;use_case_mapping;
Inland_Waterways;Navigation_Lightning;use_case_mapping;Required_For_Use_Case
Inland_Waterways;Sonar_System;use_case_mapping;Required_For_Use_Case
Inland_Waterways;Depth_Sensor;use_case_mapping;Required_For_Use_Case
Inland_Waterways;Speed_Log;use_case_mapping;Required_For_Use_Case
Inland_Waterways;Ethernet_Gateway;use_case_mapping;
Inland_Waterways;AIS_Transceiver;use_case_mapping;
Inland_Waterways;VHF_Radio;use_case_mapping;Required_For_Use_Case
Inland_Waterways;Stern_drive_propeller;use_case_mapping;Required_For_Use_Case
Inland_Waterways;Vessel_Hull;use_case_mapping;
Inland_Waterways;Bow_Thruster;use_case_mapping;Unusable_For_Use_Case
Inland_Waterways;Bow_Thruster_Controller;use_case_mapping;Unusable_For_Use_Case
Open_Water;880V_Shore_Charger;use_case_mapping;Required_For_Use_Case
Open_Water;880V_Battery;use_case_mapping;Required_For_Use_Case
Open_Water;880V_Bus_Tie;use_case_mapping;Required_For_Use_Case
Open_Water;880V_Battery_Management_System;use_case_mapping;Required_For_Use_Case
