source;target;kind;labels
880V_Shore_Charger;880V_Battery_Management_System;Component;Energy_880V
880V_Battery_Management_System;880V_Battery;Component;Energy_880V
880V_Battery_Management_System;880V_Bus_Tie;Component;Energy_880V
880V_Battery_Management_System;Strategic_Path_Planner;Component;Signal_Status
880V_Battery_Management_System;Speed_Control_Algorithm;Component;Signal_Status
880V_Battery;880V_Battery_Management_System;Component;Signal_Status
880V_Battery;880V_Bus_Tie;Component;Energy_880V
880V_Battery;230V_Grid_Inverter;Component;Energy_880V
880V_Battery;880V_Motor_Inverter;Component;Energy_880V
880V_Motor_Inverter;Stern_Drive_Motor;Component;Energy_880V
880V_Motor_Inverter;Stern_Drive_Steering_Motor;Component;Energy_880V
880V_Motor_Inverter;Bow_Thruster;Component;Energy_880V
230V_Grid_Inverter;230V_Consumers;Component;Energy_230V
230V_Grid_Inverter;UPS;Component;Energy_230V
24V_DC_Converter;24V_Battery;Component;Energy_24V
UPS;Perception_Algorithm;Component;Energy_230V
UPS;Speed_Control_Algorithm;Component;Energy_230V
UPS;Strategic_Path_Planner;Component;Energy_230V
UPS;Tactical_Path_Planner;Component;Energy_230V
UPS;Docking_Algorithm;Component;Energy_230V
UPS;Decision_Making_Algorithm;Component;Energy_230V
230V_Grid_Inverter;24V_DC_Converter;Component;Energy_24V
24V_Battery;24V_DC_Charge_Controller;Component;Signal_Status
24V_Battery;Stern_Drive_Motor_Controller;Component;Energy_24V
24V_Battery;Stern_Drive_Steering_Controller;Component;Energy_24V
24V_Battery;Marine_Radar;Component;Energy_24V
24V_Battery;GPS;Component;Energy_24V
24V_Battery;IMU;Component;Energy_24V
24V_Battery;Weather_Station;Component;Energy_24V
24V_Battery;RGB_Camera;Component;Energy_24V
24V_Battery;IR_Camera;Component;Energy_24V
24V_Battery;Lidar;Component;Energy_24V
24V_Battery;Horn;Component;Energy_24V
24V_Battery;Navigation_Lightning;Component;Energy_24V
24V_Battery;Sonar_System;Component;Energy_24V
24V_Battery;Depth_Sensor;Component;Energy_24V
24V_Battery;Speed_Log;Component;Energy_24V
24V_Battery;AIS_Transceiver;Component;Energy_24V
24V_Battery;VHF_Channel;Component;Energy_24V
24V_Battery;24V_Consumers;Component;Energy_24V
24V_Battery;Bow_Thruster_Controller;Component;Energy_24V
24V_DC_Charge_Controller;24V_Battery;Component;Energy_24V
24V_DC_Converter;24V_DC_Charge_Controller;Component;Energy_24V
24V_Battery;24V_Bus_Tie;Component;Energy_24V
Vessel_Hull;Stern_Drive_Motor;Component;Spatial
Vessel_Hull;Stern_Drive_Steering_Motor;Component;Spatial
Vessel_Hull;RGB_Camera;Component;Spatial
Vessel_Hull;IR_Camera;Component;Spatial
Vessel_Hull;Lidar;Component;Spatial
Vessel_Hull;Bow_Thruster;Component;Spatial
Stern_Drive_Motor_Controller;Stern_Drive_Motor;Component;Signal_Control
Stern_Drive_Motor;Stern_Drive_Propeller;Component;Energy_Kinetic
Stern_Drive_Steering_Controller;Stern_Drive_Steering_Motor;Component;Signal_Control
Stern_Drive_Steering_Motor;Stern_Drive_Propeller;Component;Energy_Kinetic
Marine_Radar;Perception_Algorithm;Component;Signal_Status
GPS;Strategic_Path_Planner;Component;Signal_Status
GPS;AIS_Transceiver;Component;Signal_Status
IMU;Speed_Control_Algorithm;Component;Signal_Status
Weather_Station;Strategic_Path_Planner;Component;Signal_Status
RGB_Camera;Perception_Algorithm;Component;Signal_Status
IR_Camera;Perception_Algorithm;Component;Signal_Status
Lidar;Perception_Algorithm;Component;Signal_Status
Sonar_System;Perception_Algorithm;Component;Signal_Status
Depth_Sensor;Perception_Algorithm;Component;Signal_Status
Speed_Log;Tactical_Path_Planner;Component;Signal_Status
Speed_Log;Speed_Control_Algorithm;Component;Signal_Status
AIS_Transceiver;Perception_Algorithm;Component;Signal_Status
Perception_Algorithm;Strategic_Path_Planner;Component;Signal_Status
Perception_Algorithm;Tactical_Path_Planner;Component;Signal_Status
Perception_Algorithm;Docking_Algorithm;Component;Signal_Status
Decision_Making_Algorithm;AIS_Transceiver;Component;Signal_Control
Decision_Making_Algorithm;Horn;Component;Signal_Control
Decision_Making_Algorithm;Navigation_Lightning;Component;Signal_Control
Decision_Making_Algorithm;Speed_Control_Algorithm;Component;Signal_Status
Strategic_Path_Planner;Decision_Making_Algorithm;Component;Signal_Status
Tactical_Path_Planner;Decision_Making_Algorithm;Component;Signal_Status
Docking_Algorithm;Decision_Making_Algorithm;Component;Signal_Status
Speed_Control_Algorithm;Stern_Drive_Motor_Controller;Component;Signal_Control
Decision_Making_Algorithm;Stern_Drive_Steering_Controller;Component;Signal_Control
Peplink_Router;Perception_Algorithm;Component;Signal_Status
